0.0486	2.7679	0	0	0.0486	2.7679	0	2.75	0	1
0.0511314	2.59046	0.0406906	1.5181	0.0494618	2.52372	-0.0282	3.1487	-0.1253	0.9921
-0.239579	3.50479	-0.759118	2.15895	-0.245	3.5481	-0.1062	3.5408	-0.2487	0.9686
-0.246681	4.10561	0.0841374	1.00402	-0.251926	4.22169	-0.2327	3.92	-0.3681	0.9298
-0.485849	4.46498	-0.679554	0.890159	-0.5158	4.4603	-0.4058	4.2803	-0.4818	0.8763
-0.81021	4.69507	-0.842381	0.697588	-0.793903	4.57543	-0.6226	4.6162	-0.5878	0.809
-0.710885	4.97854	0.33879	0.695639	-0.6647	4.9727	-0.8798	4.9222	-0.6845	0.729
-1.01499	5.21158	-0.798206	0.228477	-1.09649	5.35949	-1.1734	5.1935	-0.7705	0.6374
-1.59699	5.29626	-1.48565	0.213072	-1.6227	5.2972	-1.4986	5.4259	-0.8443	0.5358
-2.00015	5.63986	-0.708982	0.265194	-2.10169	6.04105	-1.8504	5.6157	-0.9048	0.4258
-2.05659	5.99338	-0.157787	0.918235	-2.0415	6.0272	-2.2232	5.76	-0.9511	0.309
-2.49335	6.08709	-1.18971	0.278942	-2.51029	5.94895	-2.6111	5.8563	-0.9823	0.1874
-3.05283	5.84875	-1.34644	-0.688555	-3.049	5.7887	-3.0081	5.9033	-0.998	0.0628
-3.58492	5.86762	-1.32734	0.0988254	-3.60264	5.96533	-3.4078	5.9002	-0.998	-0.0628
-4.00388	5.99999	-1.06184	0.32225	-3.9955	6.0083	-3.804	5.847	-0.9823	-0.1874
-4.18956	6.05826	-0.420402	0.132992	-4.12149	6.01141	-4.1904	5.7445	-0.9511	-0.309
-4.55542	5.81114	-0.825243	-0.600374	-4.5609	5.7783	-4.5609	5.5945	-0.9048	-0.4258
-5.13937	5.47858	-1.26594	-1.12411	-5.33816	5.59508	-4.9097	5.3991	-0.8443	-0.5358
-5.09562	5.01988	0.146413	-1.29311	-5.025	4.9864	-5.2312	5.1616	-0.7705	-0.6374
-5.49857	4.97849	-0.898777	-0.187974	-5.77754	5.24574	-5.5205	4.8857	-0.6846	-0.729
-5.74867	4.52674	-0.516736	-1.17042	-5.7123	4.4737	-5.7729	4.5757	-0.5878	-0.809
-6.075	4.33711	-0.424411	-0.702429	-6.34275	4.56841	-5.9844	4.2365	-0.4818	-0.8763
-6.19759	3.87191	-0.251206	-1.161	-6.1806	3.8498	-6.1517	3.8735	-0.3681	-0.9298
-6.10506	3.52091	0.177115	-0.807328	-6.00086	3.50226	-6.2723	3.4924	-0.2487	-0.9686
-6.11891	3.27238	-0.0719726	-0.613645	-6.1365	3.2835	-6.3441	3.0991	-0.1253	-0.9921
-6.23848	2.96964	-0.216277	-0.816668	-6.31675	2.9861	-6.3661	2.7	0	-1
-6.36038	2.60828	-0.307577	-0.89515	-6.3649	2.6064	-6.3378	2.3013	0.1253	-0.9921
-6.48791	1.97868	-0.149882	-1.68302	-6.55405	1.95005	-6.2599	1.9092	0.2487	-0.9686
-6.08347	1.39334	1.14275	-1.52313	-6.0026	1.3863	-6.1333	1.53	0.3681	-0.9298
-5.83242	0.880555	0.535237	-1.25674	-5.88466	0.900774	-5.9603	1.1697	0.4817	-0.8763
-5.64246	0.726279	0.463473	-0.373863	-5.6499	0.7586	-5.7435	0.8338	0.5878	-0.809
-5.45863	0.282291	0.76177	-1.19448	-5.59685	0.253671	-5.4863	0.5278	0.6845	-0.729
-5.12514	0.0215	0.839123	-0.635099	-5.1216	0.0419	-5.1927	0.2565	0.7705	-0.6374
-2.72222	-27.4794	8.38391	-73.4721	-4.84835	0.0494187	-4.8675	0.0241	0.8443	-0.5358
